,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
9,fl,smoothed_anxious_5d,2021-01-03,2021-01-08,5,14.544519,0.2594589,18463.0014,state,fb-survey
10,ga,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.5855972,0.4364746,6905.9275,state,fb-survey
11,hi,smoothed_anxious_5d,2021-01-03,2021-01-08,5,11.7675781,1.0074415,1023.0,state,fb-survey
12,ia,smoothed_anxious_5d,2021-01-03,2021-01-08,5,13.3653124,0.5432768,3923.0931,state,fb-survey
13,id,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.658306,0.7887981,2122.5375,state,fb-survey
14,il,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.7845527,0.328505,12317.9991,state,fb-survey
15,in,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.6689534,0.4608313,6849.9983,state,fb-survey
16,ks,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.7651733,0.6318837,3325.9536,state,fb-survey
17,ky,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.9313121,0.5691201,4543.4081,state,fb-survey
18,la,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.342177,0.5779152,4291.9962,state,fb-survey
19,ma,smoothed_anxious_5d,2021-01-03,2021-01-08,5,18.935503,0.5146672,5795.0145,state,fb-survey
20,md,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.0198051,0.5158834,4795.997,state,fb-survey
21,me,smoothed_anxious_5d,2021-01-03,2021-01-08,5,19.3807339,0.8467904,2179.0,state,fb-survey
22,mi,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.4496643,0.3386499,11984.0458,state,fb-survey
23,mn,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.3358905,0.5315957,4836.3647,state,fb-survey
24,mo,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.6868526,0.5127681,5537.0413,state,fb-survey
25,ms,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.5500396,0.6980737,2834.1485,state,fb-survey
26,mt,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.7461469,1.0113012,1427.2475,state,fb-survey
27,nc,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.4556193,0.3464744,10885.0135,state,fb-survey
28,nd,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.0539419,1.2980799,758.9106,state,fb-survey
29,ne,smoothed_anxious_5d,2021-01-03,2021-01-08,5,14.1209249,0.7720471,2034.5246,state,fb-survey
30,nh,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.2422422,0.8453026,1997.0,state,fb-survey
31,nj,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.3377446,0.4420237,6645.9975,state,fb-survey
32,nm,smoothed_anxious_5d,2021-01-03,2021-01-08,5,19.308112,0.7968853,2453.4549,state,fb-survey
33,nv,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.2725274,0.7962629,2253.6822,state,fb-survey
34,ny,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.8133689,0.3053981,14996.0028,state,fb-survey
35,oh,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.917074,0.3428028,12515.0068,state,fb-survey
36,ok,smoothed_anxious_5d,2021-01-03,2021-01-08,5,18.877524,0.5776688,4589.1099,state,fb-survey
37,or,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.957634,0.5607708,4685.0739,state,fb-survey
38,pa,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.4366924,0.3175138,13624.0077,state,fb-survey
39,ri,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.5718558,1.0922947,1213.9855,state,fb-survey
40,sc,smoothed_anxious_5d,2021-01-03,2021-01-08,5,13.8252938,0.4398526,6158.0033,state,fb-survey
41,sd,smoothed_anxious_5d,2021-01-03,2021-01-08,5,13.6126747,1.0475756,1071.5754,state,fb-survey
42,tn,smoothed_anxious_5d,2021-01-03,2021-01-08,5,18.4025656,0.4628401,7009.5942,state,fb-survey
43,tx,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.1789103,0.2550704,20844.0701,state,fb-survey
44,ut,smoothed_anxious_5d,2021-01-03,2021-01-08,5,18.4839833,0.7106827,2983.2323,state,fb-survey
45,va,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.0441059,0.397971,8504.794,state,fb-survey
46,vt,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.8155576,1.1928516,1029.002,state,fb-survey
47,wa,smoothed_anxious_5d,2021-01-03,2021-01-08,5,17.5735791,0.4316363,7774.8281,state,fb-survey
48,wi,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.1959612,0.4695099,5845.9523,state,fb-survey
